(2, 402)
(3, 402)
(4, 403)
(5, 404)
(6, 404)
(7, 405)
(8, 406)
(9, 406)
(10, 407)
(11, 408)
(12, 408)
(13, 409)
(14, 410)
(15, 410)
(16, 411)
(17, 412)
(18, 413)
(19, 413)
(20, 414)
(21, 415)
(22, 415)
(23, 416)
(24, 417)
(25, 417)
(26, 418)
(27, 419)
(28, 419)
(29, 420)
(30, 421)
(31, 421)
(32, 422)
(33, 423)
(34, 424)
(35, 424)
(36, 425)
(37, 426)
(38, 426)
(39, 427)
(40, 428)
(41, 428)
(42, 429)
(43, 430)
(44, 430)
(45, 431)
(46, 432)
(47, 432)
(48, 433)
(49, 434)
(50, 435)
(51, 435)
(52, 436)
(53, 437)
(54, 437)
(55, 438)
(56, 439)
(57, 439)
(58, 440)
(59, 441)
(60, 441)
(61, 442)
(62, 443)
(63, 443)
(64, 444)
(65, 445)
(66, 446)
(67, 446)
(68, 447)
(69, 448)
(70, 448)
(71, 449)
(72, 450)
(73, 450)
(74, 451)
(75, 452)
(76, 452)
(77, 453)
(78, 454)
(79, 454)
(80, 455)
(81, 456)
(82, 457)
(83, 457)
(84, 458)
(85, 459)
(86, 459)
(87, 460)
(88, 461)
(89, 461)
(90, 462)
(91, 463)
(92, 463)
(93, 464)
(94, 465)
(95, 465)
(96, 466)
(97, 467)
(98, 468)
